Dutchman	  нидерландец; голландец немец голландское судно [ 'dʌʧmən ]
coin	создавать неологизмы  (новые слова и выражения)  измышлять, выдумывать; замышлять чеканить; штамповать пуансон, чекан, штемпель монета [ kɔɪn ]
coincidental	совпадающий [ kəuˌɪn(t)sɪ'dent(ə)l ]
composer	композитор автор, сочинитель наборный автомат [ kəm'pəuzə ] 
comprehension	понимание; осмысление,  способность понимать,охват, полнота содержание понятия [ ˌkɔmprɪ'hen(t)ʃ(ə)n ]
condemn	осуждать, порицать приговаривать, выносить приговор обрекать браковать, признавать негодным конфисковывать  (контрабандные товары)забивать  (окна, двери)  [ kən'dem ]
consist	(in)   заключаться в чём-л. (of)   состоять, быть составленным из, (with)   совмещаться, совпадать, соответствовать состав, совокупность частей; структура, железнодорожный состав [ kən'sɪst ] 
constitute	  составлять основывать; учреждать, создавать вводить в силу, принимать  (закон)  сделать, произвести официальное назначение; назначить [ 'kɔn(t)stɪtjuːt ]
consume	(away)   съедать, поглощать истреблять, уничтожать быть охваченным тратить, расточать хиреть, чахнуть [ kən'sjuːm ]
contrived	 неестественный, напускной, натянутый  Syn:  far-fetched [ kən'traɪvd ]
convenient	удобный, подходящий; пригодный   близкий, находящийся под рукой [ kən'viːnɪənt ]
corpus	свод  (законов) ; собрание  (сочинений)  корпус  (текстов)  основной капитал тело, туловище  сущ.; лат.; мн.  corpora  [ 'kɔːpəs ]
cosset	любимец; баловень;ягнёнок, выкормленный искусственно [ 'kɔsɪt ]
cowardice	  трусость   малодушие; робость [ 'kauədɪs ] 
daring	смелость; отвага  бесстрашный, мужественный,дерзкий открытый, обнажающий тело    (о платье)  [ 'deərɪŋ ]
decent	подходящий, пристойный   приличный, порядочный; славный, хороший; неплохой, сносный [ 'diːs(ə)nt ] 
decline	спускаться вниз   наклоняться, склоняться заходить  (о небесном теле)   идти к концу; приходить в упадок; ухудшаться уменьшаться, идти на убыль; спадать  падать морально отклонять, давать вежливый отказ;падение, спад; упадок, конец, закат   изнурительная болезнь   склон,[ dɪ'klaɪn ] 
declining	идти к концу; приходить в упадок;меньшаться, идти на убыль;падать морально отклонять, давать вежливый отказ; падение, спад; упадок, конец, закат склон, уклон ухудшение спускаться вниз [ dɪ'klaɪn ]
deter	удерживать  (от чего-л.) ; отпугивать Syn: discourage [ dɪ'tɜː ] 
deviance	сущ.; =  deviancy, психол. девиантность, девиантное поведение ,неправильность, аномальность [ 'diːvɪən(t)s ]
devour	жадно есть; глотать, давясь поглощать; уничтожать; разрушать снедать, мучить [ dɪ'vauə ]
disfigure	обезображивать, уродовать; портить [ dɪs'fɪgə ]
disparity	неравенство; несоответствие; несоразмерность [ dɪs'pærətɪ ]
distinction	  различение, распознавание; разграничение отличие,уважение, признание,знак отличия, награда высокие качества, исключительность   отлично  (отметка)  [ dɪ'stɪŋkʃ(ə)n ] 
dormant	дремлющий, спящий потенциальный, скрытый находящийся в зимней спячке  бездействующий,нереализуемый; отложенный [ 'dɔːmənt ] 
drill	  дрель; перфоратор сверлить  (дыру) бурить, добывать застрелить  (кого-л.)  придавать вращательное движение подготовка, тренировка; упражнения, отработка строевые учения,тренировать, натаскивать отдавать точные приказы, строгие распоряжения приводить на запасной путь сеялка высаживать, сеять рядами разновидность западноафриканского бабуина, мандрил  [ drɪl ] 
dude	дуд  (житель восточной части США или горожанин, который проводит свой отпуск на ранчо в западной части США)  пижон, франт, денди парень, чувак, старик, братан; dude up вырядиться, разодеться клёво! круто! мощно![ djuːd ]
elaborate	тщательно, детально разработанный; продуманный; старательный, аккуратный; усердный   детально разрабатывать  придавать законченный вид производить; вырабатывать, перерабатывать [ ɪ'læb(ə)rɪt ] 
embankment	насыпь, дамба,сооружение насыпи, дамбы, вала набережная [ ɪm'bæŋkmənt ], [ em- ]
encounter	случайная встреча первый опыт столкновение, стычка неожиданно) встретиться, столкнуться [ ɪn'kauntə ], [ en- ] 
engage	 (политически) ангажированный, занимающий определённую (идеологическую) позицию [ ˌɔngʌ'ʒeɪ ]
enthral	покорять, порабощать очаровывать, увлекать, захватывать [ ɪn'θrɔːl ], [ en- ]
erratic	изменчивый, непостоянный; непредсказуемый эксцентричный, чудаковатый, странный блуждающий  чудак, сумасброд, оригинал  Syn: crank [ ɪ'rætɪk ], [ er'- ]
eventual	  возможный, могущий случиться; конечный, окончательный [ ɪ'venʧuəl ], [ -tju- ] 
evolve	  эволюционировать, развиваться развёртывать, раскручивать; развивать,   выявлять, обнаруживать;мат. извлекать корень [ ɪ'vɔlv ]
fall off	уменьшаться, ослабевать   ухудшаться не слушаться руля []
fast pace	скорый, быстрый шаг []
fatigue	усталость, утомление апатия, тяжёлая, утомительная работа atigue duty   нестроевой наряд, хозяйственная работа изматывать, изнурять, утомлять [ fə'tiːg ] 
flaw	упущение, ошибка изъян, недостаток  трещина, щель, порок   повредить, испортить порыв ветра; шквал; вспышка ненастья уст. прилив, вспышка  [ flɔː ]
fortitude	сила духа, стойкость  Syn: courage [ 'fɔːtɪt(j)uːd ], [ -ʧuːd ] 
gauge	мера, масштаб, размер,  критерий, способ оценки   измерять,оценивать собирать в складки  (ткань)  [ geɪʤ ]
gobble	жадно, быстро; пожирать   глотать, читать запоем кулдыкать  (об индюке)  [ 'gɔbl ]
goby	 бычок  (рыба)  [ 'gəubɪ ]
grace	готовность, расположение украшать   удостаивать, награждать грация, грациозность; изящество;with (a) good grace  охотно, с готовностью,достоинства, добродетели приличия рел. благодать милосердие, прощение; милость отсрочка, передышка молитва  (перед едой) разрешение на соискание учёной степени милость, светлость ( graces)   игра в серсо [ greɪs ]
gratify	  попустительствовать, потакать, потворствовать вознаграждать  удовлетворять; доставлять удовольствие; радовать [ 'grætɪfaɪ ]
habitat	родина, место распространения, ареал [ 'hæbɪtæt ]
halved	средний; половинчатый [ hɑːvd ]
hardly	едва ли, вряд ли; почти не, едва, еле, насилу  тяжело, с трудом  резко, грубо, [ 'hɑːdlɪ ]
headstrong	настойчивый, своевольный, упрямый, упорный Syn: stubborn [ 'hedstrɔŋ ]
idiosyncratic	отличительный, характерный, уникальный ,идиосинкратический, идиосинкразический [ ˌɪdɪəsɪŋ'krætɪk ]
infer	заключать; делать вывод   значить, обозначать, означать, подразумевать; наводить на мысль делать предположение, высказывать догадку [ ɪn'fɜː ]
interrogation	допрос   вопрос, вопросительное предложение передача сигнала [ ɪnˌterə'geɪʃ(ə)n ]
intricate	 запутанный, сложный, замысловатый; затруднительный  Syn: involved, tangled [ 'ɪntrɪkət ] 
invariable	неизменный, неизменяемый; постоянный, стабильный, устойчивый [ ɪn'veərɪəbl ]
leisure	 досуг, свободное время  свободный [ 'leʒə ]
lie off	стоять на некотором расстоянии временно прекратить работу []
lifespan	 продолжительность жизни [ 'laɪfspæn ]
live within his means	жить по средствам []
lodestone	(lode) магнетит, магнитный железняк [ ləud ]
matriarchal	 матриархальный [ ˌmeɪtrɪ'ɑːk(ə)l ]
mole	крот  родинка, родимое пятно бурав кротового плуга дамба, запруда, плотина грамм-молекула, моль  [ məul ]
morning glory	(+vine) вьюнок пурпурный, ипомея  (лат.  Ipomoea)   [ 'mɔːnɪŋˌglɔːrɪ ]
moth	бабочка; ночная бабочка мотылёк [ mɔθ ]
mound	насыпь; холм насыпать холм; сооружать насыпь [ maund ]
mount	  садиться (на), залезать, взбираться взлетать вверх,  подниматься, восходить покрывать  (оплодотворять самку)  снабжать верховыми лошадьми или транспортным средством монтировать, устанавливать насаживать, накалывать   ставить  (спектакль)  быть вооружённым пушками поднимать, воодушевлять; подложка; паспарту оправа  (драгоценного камня) основа,   животное под седлом велосипед лафет, станок высокий холм, гора [ maunt ] 
namely	а именно, то есть [ 'neɪmlɪ ]
nuisance	досада; неприятность надоедливый человек; зануда   невыносимое состояние, положение вещей неудобство, помеха [ 'njuːs(ə)n(t)s ] 
occasionally	иногда, изредка, время от времени; подчас, порой [ ə'keɪʒ(ə)n(ə)lɪ ]
odor, odour	запах  (обычно неприятный)  аромат, благоухание особенность, душок, налёт, привкус [ 'əudə ]
odour (odor)	запах  (обычно неприятный)  аромат, благоухание особенность, душок, налёт, привкус [ 'əudə ] 
offensive	  обидный, оскорбительный   отвратительный, неприятный, противный агрессивный, наступательный,наступление, атака [ ə'fen(t)sɪv ]
partition	  расчленение; деление, раздел, разделение распределение   линия раздела, граница отделение, секция,делить, разделять, расчленять ставить перегородку [ pɑː'tɪʃ(ə)n ] 
pastime	 времяпрепровождение, развлечение, забава, увеселение; игра [ 'pɑːstaɪm ]
pauper	бедный, бедняк, неимущий, нищий получающий пособие по бедности [ 'pɔːpə ]
peg	колышек деревянный гвоздь затычка долька цитрусовых сигнал семафора металлический стержень, воен.; жарг. заряд джин с содовой молочный зуб нога протез, деревянная нога сильный удар вытянутой рукой вбивать, вколачивать прикреплять огораживать колышками устанавливать цены или стоимость искусственно поддерживать   (курс)  классифицировать бросать, швырять протыкать [ peg ] 
peg away	упорно работать, корпеть над  (чем-л.)  []
peg down	связывать, стеснять, ограничивать устанавливать низкие цены; не давать ценам расти []
peg out	выдохнуться; потерять сознание; умереть; выйти из строя  повесить  (бельё)  разориться;убить шар  (в крокете) []
perpetuate	увековечивать; сохранять навсегда [ pə'peʧueɪt ] 
pinnacle	кульминационный пункт, апофеоз возносить вершина, пик остроконечная башенка, бельведер, шпиц украшать башенками [ 'pɪnəkl ] 
playwright	драматург [ 'pleɪraɪt ] 
plea	  просьба; призыв, обращение; требование; предложение law-plea   судебный акт, процесс, тяжба заявление, сделанное в суде жалоба, прошение, иск возражение, апелляция повод, предлог, оправдание шотл. ссора, вражда; спор, выяснение отношений [ pliː ]
pleas	-e мольбы []
polio	полиомиелит, мн.polios   больной полиомиелитом [ 'pəulɪəu ]
polyphemus moth	Полифемовая бабочка [] 
preposition	предлог Gram: [ ˌprepə'zɪʃ(ə)n ]
presume	предполагать, полагать; допускать отважиться, осмелиться притворяться (up)on); злоупотреблять  (чем-л.)  [ prɪ'zjuːm ]
prevalence	широкая распространённость, повсеместное существование ;уст. вес, сила, господство [ 'prev(ə)lən(t)s ]
project	выдаваться, выступать   выбрасывать, выпускать  (снаряд)  проектировать, разрабатывать,прогнозировать, предполагать проект, замысел  [ 'prɔʤekt ] 
provenance	происхождение, источник Syn:  spring, source  [ 'prɔv(ə)nən(t)s ]
quarrel	  ссора; перебранка; раздоры причина спора, разногласий ссориться, ругаться,короткая, тяжёлая стрела для арбалета алмаз для резки стекла   долото  [ 'kwɔr(ə)l ] 
quotation	цитирование цитата стоимостsuggestiveь, цена;котировка, курс [ kwə'teɪʃ(ə)n ]
realm	  королевство; государство сфера, область [ relm ]
reap	жать, пожинать, собирать урожай получать результат [ riːp ] 
recline	склоняться, нависать облокачиваться; склоняться,укладывать, откидывать назад,[ rɪ'klaɪn ]
regal	  королевский, царский   величественный, царственный [ 'riːg(ə)l ] 
regard	as)   расценивать, рассматривать; считать, относиться внимание, забота расположение, уважение; *s)   привет, поклон; пожелания касательство, отношение, связь; касаться , иметь отношение принимать во внимание, внимательно смотреть  (на кого-л. / что-л.) , разглядывать [ rɪ'gɑːd ]
reindeer	северный олень [ 'reɪndɪə ]
repercussion	отдача  (после удара)  отражение, рефлексия отзвук; эхо ответное действие; влияние; последствия [ ˌriːpə'kʌʃ(ə)n ]
restatement	повторное заявление; подтверждение [ ˌriː'steɪtmənt ]
rite	обряд, церемония ритуал, церемониал [ raɪt ]
roost	  (собираться объединяться ?)усаживаться на насест устраиваться на ночлег усаживаться, взгромождаться насест; курятник спальня; постель [ ruːst ] 
sap	  сокжизненные силы, жизненные соки; жизнеспособность  амер.; разг. резиновая дубинка лишать сока; сушить, иссушать сапа, подкоп; крытая траншея подрывать, изматывать подкрадываться незаметно дурак, олух, болван зубрила, ботаник  корпеть [ sæp ]
scenic	живописный, красивый  сценический; театральный изображающий эпизод, сцену [ 'siːnɪk ]
seemingly	по-видимому , на вид, по внешнему виду  Syn: apparently,   to all appearance  [ 'siːmɪŋlɪ ]
seeweed	водоросли []
severe	строгий, суровый; требовательный склонный осуждать; критически настроенный простой; без излишеств серьёзный, тяжёлый, сильный   трудный, тяжёлый;саркастический, едкий; резкий, колкий [ sɪ'vɪə ]
shortage	 нехватка, недостаток; дефицит   teacher shortage  — нехватка преподавателей [ 'ʃɔːtɪʤ ] 
sift	отсеивать, просеивать щательно рассматривать, анализировать подвергать испытанию; подробно допрашивать  просеивание, отсев, просеиваемый материал; продукт отсеивания [ sɪft ]
soar	  высота  парить, up   (стремительно) повышаться вздыматься; возвышаться планировать, совершать парящий полёт [ sɔː ]
staghorn	 платицериум, олений рог, плоскорог [ 'stæghɔːn ]
starling	скворец  водорез, волнорез; ледорез [ 'stɑːlɪŋ ]
strand	прядь  (каната, троса) ;жила нитка бус, жемчуга бородка птичьего пера длинный локон, прядь волос порвать одну или несколько прядей  вить, крутить,вплетать, переплетать прибрежная полоса, берег сесть на мель посадить на мель оказаться на мели, без денег [ strænd ]
strangeness	эксцентричность, странность;чудаковатость; оригинальность; своеобразие [ 'streɪnʤnəs ]
stun	оглушить ударом   потрясти, ошеломить [ stʌn ] 
stunned	ошеломлённый, потрясённый [ 'stʌnd ]
suburbia	предместья и их жители; пригороды [ sə'bɜːbɪə ]
suggestive	  вызывающий мысли намекающий на что-л. непристойное; неприличный относящийся к внушению, гипнозу [ sə'ʤestɪv ] 
superficial	  внешний, неглубокий, поверхностный   кажущийся, мнимый двухмерный [ ˌs(j)uːpə'fɪʃ(ə)l ]
surge	(на)хлынуть подъём, рост; всплеск подниматься, вздыматься большая волна; волны   волноваться  (о толпе)  мор. травить [ sɜːʤ ]
tangible	вещественный, материальный, осязаемый ясный; ощутимый, заметный; реальность, факт нечто ощутимое, реальное, осязаемое;[ 'tænʤəbl ] 
taste	вкус, понимание; манера, стиль склонность, пристрастие пробовать (на вкус); отведать пережить, испытать, вкусить, познать   производить впечатление; [ teɪst ] 
taunt	  насмехаться, говорить колкости дразнить  насмешка [ tɔːnt ]
thistle	чертополох цветок чертополоха  (как эмблема Шотландии)  [ 'θɪsl ] 
threat	опасность, угроза [ θret ] 
tie	лента, верёвка, шнурок галстук; ( ties)   полуботинки со шнурками связь, узы взаимодействие, связь обуза, тягота равный счёт   игра вничью пучок  (волосы) коса, косичка связка завязывать, привязывать, связывать скреплять сравнять счёт,  мешкать, медлить; плестись, набрасываться на  (кого-л.) [ taɪ ]
to some degree	до некоторой степени []
toss up a coin	to spin a coin играть в орлянку решать пари подбрасыванием монеты to coin it in разг. зарабатывать много денег []
tranquillity	спокойствие; невозмутимость; безмятежность [ træŋ'kwɪlətɪ ]
turtle weed	травяная черепаха []
tycoon	сёгун  (в Японии)  разг. промышленный или финансовый магнат [ taɪ'kuːn ]
undergo	  испытывать, переносить подвергаться  (чему-л.)  [ ˌʌndə'gəu ] 
undergoing change	претерпевает изменение []
undisguised	нескрываемый, открытый, явный; непритворный [ ˌʌndɪs'gaɪzd ]
unimpeded	беспрепятственный, свободный [ ˌʌnɪm'piːdɪd ]
vine	виноградная лоза вьющееся или ползучее растение [ vaɪn ] 
watermelon	арбуз [ 'wɔːtəˌmelən ]
winding	бессвязный, хаотичный, беспорядочный извилистый; вьющийся; кривая линия, кривой путь   наматывание, намотка хитрости, околичности   извилина, изгиб, поворот [ 'waɪndɪŋ ]
woodpecker	дятел [ 'wudˌpekə ]
yam	батат, сладкий картофель [ jæm ]
eventually	 в конечном счёте, в итоге, в конце концов; со временем [ ɪ'venʧuəlɪ ], [ -tju- ]
consistently	  последовательно, согласованно в соответствии с, сообразуясь с, сообразно, согласно единообразно, равным образом [ kən'sɪst(ə)ntlɪ ]
view shift over time	изменение взглядов с течением времени []
abusive	бранный, оскорбительный жестокий, насильственный   злоупотребляющий; коррумпированный [ ə'bjuːsɪv ]
fold	гибать, складывать,заворачивать прекращать существование окутывать добавлять какой-л. ингредиент, медленно вливая его и помешивая ложкой сгиб, изгиб, складка лист в книге загон для скота скот  (обычно овцы) , загнанный в загон паства,загонять скот [ fəuld ]
impoverish	лишать средств, доводить до бедности, до нищеты истощать  (почву)  подрывать  (здоровье)  обеднять; делать хуже, слабее, менее эффективным [ ɪm'pɔv(ə)rɪʃ ] 
prophetic(al)	пророческий; предсказывающий [ prə'fetɪk((ə)l) ]
prosperous	процветающий, преуспевающий, богатый, зажиточный, благоприятный попутный  (о ветре)  [ 'prɔsp(ə)rəs ] 
eloquence	 красноречие; ораторское искусство [ 'eləkwən(t)s ]
commend	  одобрять, хвалить рекомендовать доверять  (кому-л. что-л.) , вверять ( commend oneself to)   привлекать к себе  (кого-л.)  [ kə'mend ]
pillage	грабёж, мародёрство награбленное добро; трофеи грабить, мародёрствовать  Syn: plunder [ 'pɪlɪʤ ]
allege	  утверждать, заявлять о факте утверждать безосновательно, бездоказательно ссылаться, приписывать привлекать в качестве авторитета [ ə'leʤ ]
restate	вновь заявлять, утверждать заново формулировать; формулировать по-другому [ ˌriː'steɪt ]
restatement	повторное заявление; подтверждение [ ˌriː'steɪtmənt ]
metropolitan	относящийся к столице или большому городу, столичный центральный;относящийся к метрополии житель столичного города архиепископ; митрополит [ ˌmetrə'pɔlɪt(ə)n ] 
the later then the former	второй чем первый [] 
wed	жениться; выходить замуж; вступать в брак совмещать, соединять, сочетать [ wed ]
authenticity	аутентичность, достоверность, подлинность [ ˌɔːθen'tɪsətɪ ]
ware	гончарные изделия; керамика, керамические изделия молодь устриц шутл. женщины [ weə ]
boast	хвастовство предмет гордости хвастать(ся), кичиться, похваляться обтёсывать камень, придавать грубую форму; делать заготовку, шаблон [ bəust ]
attest	подтверждать, заверять, удостоверять свидетельствовать,приводить к присяге [ ə'test ]
abundance	изобилие; избыток   богатство, достаток экол. плотность, численность хим. относительное содержание физ. распространённость [ ə'bʌndən(t)s ]
carry out	выполнять, осуществлять; приводить в исполнение []
myriad	несметное число, мириады неисчислимый, несметный   разнообразный, разнородный [ 'mɪrɪəd ]
pertain	принадлежать относиться, иметь отношение к быть свойственным подобать, подходить [ pə'teɪn ], [ pɜː- ]
boneless	  бесхарактерный, бесхребетный, мягкотелый бескостный, очищенный от костей [ 'bəunləs ]
aloft	наверху; на высоте; в воздухе наверх, ввысь мор. на марсе, на реях; to go aloft  — разг. умереть, отойти в мир иной ;alow and aloft  — повсюду, и там и сям []
wince	вздрагивание, содрогание лягаться, брыкаться  вздрагивать, морщиться Syn:flinch [ wɪn(t)s ]
viselike	extremely tight and firm."he grabbed my wrist in a vice-like grip" [ vaɪs ]
bowing	техника владения смычком   игра на скрипичных инструментах [ 'bəuɪŋ ]
countenance	лицо, выражение лица хладнокровие, спокойствие проявление сочувствия; моральная поддержка;стиль поведения, манера одобрять, разрешать; давать санкцию оказывать моральную поддержку, поощрять; сочувствовать [ 'kaunt(ə)nən(t)s ]
customary	обычный, привычный основанный на обычае или обычном праве [ 'kʌstəm(ə)rɪ ]
acquaint	(with) знакомить с (oneself with)   ознакомляться с  (чем-л.) [ ə'kweɪnt ]
hostile	вражеский, неприятельский,   враждебный, неприязненный, недружелюбный [ 'hɔstaɪl ] 
tame	приручать; дрессировать, укрощать; одомашнивать приручённый, одомашненный; укрощённый культурный, культивируемый покорённый, неопасный    смиряться; становиться покорным, послушным ослаблять, смягчать лишать живости, красок, делать скучным [ teɪm ] 
resentment	негодование, возмущение; чувство обиды [ rɪ'zentmənt ] 
leaflet	листочек, листик; молодой лист листовка; тонкая брошюра [ 'liːflət ]
portray	рисовать портрет; изображать   давать словесное описание играть, изображать, представлять [ pɔː'treɪ ]
concur	происходить одновременно, совпадать, пересекаться   сходиться в мнениях, приходить к общему выводу, соглашаться согласованно действовать; сотрудничать [ kən'kɜː ]
hinder	задерживать, затруднять; мешать, препятствовать быть помехой  задний  [ 'hɪndə ]
composer	композитор автор, сочинитель наборный автомат [ kəm'pəuzə ] 
nuisance	досада; неприятность надоедливый человек; зануда   невыносимое состояние, положение вещей неудобство, помеха [ 'njuːs(ə)n(t)s ] 
partition	  расчленение; деление, раздел, разделение распределение   линия раздела, граница отделение, секция,делить, разделять, расчленять ставить перегородку [ pɑː'tɪʃ(ə)n ] 
shortage	 нехватка, недостаток; дефицит   teacher shortage  — нехватка преподавателей [ 'ʃɔːtɪʤ ] 
severe	строгий, суровый; требовательный склонный осуждать; критически настроенный простой; без излишеств серьёзный, тяжёлый, сильный   трудный, тяжёлый;саркастический, едкий; резкий, колкий [ sɪ'vɪə ]
grace	готовность, расположение украшать   удостаивать, награждать грация, грациозность; изящество;with (a) good grace  охотно, с готовностью,достоинства, добродетели приличия рел. благодать милосердие, прощение; милость отсрочка, передышка молитва  (перед едой) разрешение на соискание учёной степени милость, светлость ( graces)   игра в серсо [ greɪs ]
scenic	живописный, красивый  сценический; театральный изображающий эпизод, сцену [ 'siːnɪk ]
decent	подходящий, пристойный   приличный, порядочный; славный, хороший; неплохой, сносный [ 'diːs(ə)nt ] 
gratify	  попустительствовать, потакать, потворствовать вознаграждать  удовлетворять; доставлять удовольствие; радовать [ 'grætɪfaɪ ]
cowardice	  трусость   малодушие; робость [ 'kauədɪs ] 
pinnacle	кульминационный пункт, апофеоз возносить вершина, пик остроконечная башенка, бельведер, шпиц украшать башенками [ 'pɪnəkl ] 
affair	(s)дела, вопросы происшествие, инцидент, дело   событие, мероприятие; явление штука, штуковина роман, любовная связь, амур(ы)[ ə'feə ] 
flaw	упущение, ошибка изъян, недостаток  трещина, щель, порок   повредить, испортить порыв ветра; шквал; вспышка ненастья уст. прилив, вспышка  [ flɔː ]
cardboard	картон картонный адуманный, неестественный, ненатуральный, ходульный  (о литературном персонаже)  [ 'kɑːdbɔːd ] 
unimpeded	беспрепятственный, свободный [ ˌʌnɪm'piːdɪd ]
eventual	  возможный, могущий случиться; конечный, окончательный [ ɪ'venʧuəl ], [ -tju- ] 











=======
metropolitan	относящийся к столице или большому городу, столичный центральный;относящийся к метрополии житель столичного города архиепископ; митрополит [ ˌmetrə'pɔlɪt(ə)n ] 
the later then the former	второй чем первый [] 
wed	жениться; выходить замуж; вступать в брак совмещать, соединять, сочетать [ wed ]
authenticity	аутентичность, достоверность, подлинность [ ˌɔːθen'tɪsətɪ ]
ware	гончарные изделия; керамика, керамические изделия молодь устриц шутл. женщины [ weə ]
boast	хвастовство предмет гордости хвастать(ся), кичиться, похваляться обтёсывать камень, придавать грубую форму; делать заготовку, шаблон [ bəust ]
attest	подтверждать, заверять, удостоверять свидетельствовать,приводить к присяге [ ə'test ]
abundance	изобилие; избыток   богатство, достаток экол. плотность, численность хим. относительное содержание физ. распространённость [ ə'bʌndən(t)s ]
carry out	выполнять, осуществлять; приводить в исполнение []
myriad	несметное число, мириады неисчислимый, несметный   разнообразный, разнородный [ 'mɪrɪəd ]
pertain	принадлежать относиться, иметь отношение к быть свойственным подобать, подходить [ pə'teɪn ], [ pɜː- ]
boneless	  бесхарактерный, бесхребетный, мягкотелый бескостный, очищенный от костей [ 'bəunləs ]
aloft	наверху; на высоте; в воздухе наверх, ввысь мор. на марсе, на реях; to go aloft  — разг. умереть, отойти в мир иной ;alow and aloft  — повсюду, и там и сям []
wince	вздрагивание, содрогание лягаться, брыкаться  вздрагивать, морщиться Syn:flinch [ wɪn(t)s ]
viselike	extremely tight and firm."he grabbed my wrist in a vice-like grip" [ vaɪs ]
bowing	техника владения смычком   игра на скрипичных инструментах [ 'bəuɪŋ ]
countenance	лицо, выражение лица хладнокровие, спокойствие проявление сочувствия; моральная поддержка;стиль поведения, манера одобрять, разрешать; давать санкцию оказывать моральную поддержку, поощрять; сочувствовать [ 'kaunt(ə)nən(t)s ]
customary	обычный, привычный основанный на обычае или обычном праве [ 'kʌstəm(ə)rɪ ]
acquaint	(with) знакомить с (oneself with)   ознакомляться с  (чем-л.) [ ə'kweɪnt ]
  
>>>>>>> 0705dd0881df9e3e3e72bba99711f37dc354aab5






